state,suicides_2023,population_2023,suicide_rate_per_100k,unemployment_rate,cpi_index,cpi_stress,norm_suicide,norm_unemployment,norm_cpi,resilience_index,risk_band
Johor,123,4067200,3.02,3.13,136.91,36.91,0.20570264765784113,0.25535714285714284,1.0,57.83,medium
Kedah,60,2248700,2.67,3.14,126.79,26.790000000000006,0.170061099796334,0.2571428571428572,0.25258493353028094,77.88,low
Kelantan,20,1998800,1.0,3.39,127.68,27.680000000000007,0.0,0.3017857142857143,0.3183161004431318,81.48,low
Melaka,25,969800,2.58,1.7,127.78,27.78,0.16089613034623218,0.0,0.32570162481536186,85.42,low
Negeri Sembilan,40,1216700,3.29,3.87,127.93,27.930000000000007,0.23319755600814662,0.3875,0.3367799113737079,68.69,medium
Pahang,35,1704600,2.05,2.62,129.27,29.27000000000001,0.10692464358452136,0.1642857142857143,0.43574593796159594,79.08,low
Perak,85,2523600,3.37,4.43,127.23,27.230000000000004,0.24134419551934827,0.48749999999999993,0.28508124076809466,66.16,medium
Perlis,5,263300,1.9,3.64,126.45,26.450000000000003,0.09164969450101831,0.3464285714285715,0.2274741506646972,78.52,low
Pulau Pinang,123,1812600,6.79,2.88,132.33,32.33000000000001,0.5896130346232179,0.21071428571428572,0.6617429837518474,52.5,medium
Sabah,45,4009400,1.12,7.3,126.68,26.680000000000007,0.012219959266802454,1.0,0.24446085672082749,58.4,medium
Sarawak,50,2966800,1.69,4.01,123.37,23.370000000000005,0.07026476578411404,0.4125,0.0,82.75,low
Selangor,305,7448500,4.09,3.52,134.9,34.900000000000006,0.31466395112016293,0.325,0.851550960118169,54.75,medium
Terengganu,15,1308500,1.15,3.66,128.16,28.159999999999997,0.015274949083503046,0.35000000000000003,0.3537666174298371,78.29,low
W.P. Kuala Lumpur,135,2081400,6.49,3.64,128.72,28.72,0.5590631364562119,0.3464285714285715,0.39512555391432774,55.63,medium
W.P. Labuan,11,101700,10.82,3.64,123.76,23.760000000000005,1.0,0.3464285714285715,0.02880354505169873,47.15,high
W.P. Putrajaya,6,115600,5.19,3.64,136.02,36.02000000000001,0.42668024439918534,0.3464285714285715,0.9342688330871501,47.45,high
