state,suicides_2023,u_rate,risk_score
Selangor,305,3.522222222222222,84.47488584474885
W.P. Kuala Lumpur,135,3.5,45.367168201212664
Johor,123,3.13,41.092521895351446
Pulau Pinang,123,2.88,40.065124635077474
Perak,85,4.43,37.71367617336627
Kedah,60,3.141666666666667,26.68145070738828
Sarawak,50,4.006451612903226,27.940279478133625
Sabah,45,7.3,40.32786885245902
Negeri Sembilan,40,3.8714285714285714,25.090308299380837
Pahang,35,2.618181818181818,18.792438192842415
Melaka,25,1.7,12.7240062878958
Kelantan,20,3.3899999999999997,18.5216707837413
Terengganu,15,3.6571428571428575,18.471977158256074
Perlis,5,3.5,15.531102627442175
W.P. Labuan,11,3.5,16.908151807770043
W.P. Putrajaya,6,3.5,15.760610824163487
